,server_age_years,rack_u_position,workload_intensity,cpu_utilization,gpu_utilization,memory_utilization,storage_utilization,disk_io_iops,network_throughput_gbps,network_latency_ms,virtual_machines_count,ambient_temperature_c,humidity_percentage,inlet_temperature_c,exhaust_temperature_c,fan_speed_rpm,airflow_cfm,cooling_efficiency,power_supply_efficiency,ups_battery_health,power_consumption_kw,pue,wue,carbon_intensity_gco2_kwh,renewable_energy_ratio,carbon_emission_kg,compute_cost_usd
server_age_years,1.0,-0.0015659940084910286,-0.0002262771447382494,-0.0008622610900686479,-0.3646691509857345,-0.0014414813133098547,-0.030053024459711815,-0.026042966608361397,-0.0021931190282738124,0.016769786569121085,0.36054994485215525,0.34906024831235716,0.39184044589715167,0.8573391110820251,0.096200769423567,0.4793866629771806,0.47651596330963447,-0.8009761010208893,-0.999999999999997,-0.9255998098145337,-0.25421259863399753,0.8326507529503737,-0.3700921449777871,0.4893422431780012,-0.43394342105848605,0.37852473154965205,-0.36257993863758176
rack_u_position,-0.0015659940084910286,1.0,-0.0002408802536622788,-0.0015290801703832335,0.0015394369928192798,-0.0018162415993753993,-0.0016635840084945521,-0.0015563447458313742,-0.0027952476361912983,-0.001987608950672847,0.0004889472519299131,0.0016213481384562806,-0.002724084150324696,-0.00015145684247616886,0.0004363076000035619,-0.0018712852705562138,-0.001901213023887202,0.0034073482022371126,0.0015659940084916436,0.0021397580722899772,-0.0005939781409561736,-0.003895481012397123,0.0036707541698196523,0.001056598944086323,-0.0025796762968423805,0.005046092497160667,-0.0010654661841914413
workload_intensity,-0.0002262771447382494,-0.0002408802536622788,1.0,0.9671215692028373,0.21071577365264035,0.6121340787826189,-0.001789123167961815,0.5055151621359418,0.34294907189017365,0.0015142775097789628,0.003445526603496906,0.0023810426547729887,0.005732507838698737,0.0011569436292263068,0.4976657928139354,0.21593703816648296,0.21539865072842768,-0.0015734494014454478,0.00022627714473802082,0.001022269608750856,0.227431531435236,0.0025062495216338536,-0.00021667528401765913,0.0024323025114733328,-0.002320031745239635,0.13529526074660667,0.1956443333886977
cpu_utilization,-0.0008622610900686479,-0.0015290801703832335,0.9671215692028373,1.0,0.2180340205213373,0.5916975910496078,-0.0022348413584938115,0.48845989809197143,0.3311578434488418,0.00026349071482139897,0.0019749833512350194,0.001584881671539047,0.0054731253445095525,0.00029639727840330855,0.5140060208371771,0.22333541347497546,0.22272864140565146,-0.0010640441021350473,0.0008622610900685325,0.001451996524057718,0.23477736137707983,0.0018653132318015655,-0.0005257426116483593,0.0014485983343530567,-0.0015685796982496316,0.13961810459931742,0.20184432680072448
gpu_utilization,-0.3646691509857345,0.0015394369928192798,0.21071577365264035,0.2180340205213373,1.0,0.13077679562834105,-0.2355379636822308,-0.09638280072099012,0.0737974527419408,0.12794796599178979,-0.35650049309816906,-0.21800521663453565,-0.16759232125835505,-0.3624752552150985,0.6256043334894849,-0.18322643051215476,-0.18243023386612994,0.3483958966885523,0.3646691509857273,0.3366674865418991,0.9194481443888192,-0.30708685150020054,0.3973068930102134,-0.320764897825281,0.3029139626175325,0.14988331481435402,0.91708322893089
memory_utilization,-0.0014414813133098547,-0.0018162415993753993,0.6121340787826189,0.5916975910496078,0.13077679562834105,1.0,-0.0025892353273751045,0.308155880397048,0.2082989203731665,-0.002759045059735112,-0.0015791947886888299,-0.005468810703078419,0.0011922664287024264,-0.003963791886331235,0.3051196100459928,0.13098319427683686,0.13108844857113044,-0.0003861147072100269,0.001441481313309685,-0.00029462964081479936,0.13927264489811322,2.4650935895453075e-05,-0.0016964583239848766,-0.001469213844781991,0.0029113467763743693,0.08103221076686201,0.12023998674780031
storage_utilization,-0.030053024459711815,-0.0016635840084945521,-0.001789123167961815,-0.0022348413584938115,-0.2355379636822308,-0.0025892353273751045,1.0,0.8619117280668053,-0.001237098294288692,0.10121402865657259,-0.31999706971137054,0.009968753095785678,-0.08273874599315595,-0.014527422249829195,-0.17451432944200093,-0.04580257469417004,-0.04572784853266784,0.08424304613596408,0.0300530244597124,0.030081680400360723,-0.3200003354529598,-0.10550966935910361,-0.024534777027052368,0.006098942044787743,-0.02618962297548469,-0.18049459111210708,-0.28700428050108184
disk_io_iops,-0.026042966608361397,-0.0015563447458313742,0.5055151621359418,0.48845989809197143,-0.09638280072099012,0.308155880397048,0.8619117280668053,1.0,0.172828876537997,0.08809641765376015,-0.2743520405598781,0.009807860769013419,-0.06848239567965225,-0.01194688939222917,0.10177014381025346,0.0699762287534342,0.06976761865780669,0.07188702759841797,0.026042966608360883,0.026470494209557018,-0.16078257769992718,-0.08976400661066969,-0.021282287725725678,0.006495294967941501,-0.023774033208786155,-0.08713219209543584,-0.14843047480220006
network_throughput_gbps,-0.0021931190282738124,-0.0027952476361912983,0.34294907189017365,0.3311578434488418,0.0737974527419408,0.2082989203731665,-0.001237098294288692,0.172828876537997,1.0,0.00040894565319881743,0.0011506433911802482,0.0021200439510287885,0.0033319180288510944,-0.0002940152194248521,0.1711309801115449,0.07618346074099187,0.07630965161600016,-0.0006044195145838022,0.0021931190282735023,0.0023320178079805558,0.08126641770182239,0.00040852959328305065,-0.0039388818393165746,-0.00012319818389156385,0.0010929063633102305,0.046925987030631874,0.07002480909317227
network_latency_ms,0.016769786569121085,-0.001987608950672847,0.0015142775097789628,0.00026349071482139897,0.12794796599178979,-0.002759045059735112,0.10121402865657259,0.08809641765376015,0.00040894565319881743,1.0,0.17675557976714762,0.07504843704055804,0.07247531890952492,0.052386181594017,0.09569968228262413,-0.04279675370962602,-0.04247495362206205,0.013687277920886516,-0.016769786569120523,-0.015274097098290541,0.2073552795864642,0.033765066091164975,0.10682939523296983,0.07923519999318378,-0.06989321950063937,0.15295991570520473,0.1716222875960789
virtual_machines_count,0.36054994485215525,0.0004889472519299131,0.003445526603496906,0.0019749833512350194,-0.35650049309816906,-0.0015791947886888299,-0.31999706971137054,-0.2743520405598781,0.0011506433911802482,0.17675557976714762,1.0,0.2754515712374765,0.30558060398865056,0.3912882576485117,-0.09298912347577078,0.18395298777485936,0.18359185663826358,-0.35036208212945674,-0.3605499448521556,-0.33554386665462477,-0.19065060204932227,0.39042609258016325,-0.1932908249541635,0.373247751424537,-0.3300775033616224,0.23976469640209022,-0.2693495686246094
ambient_temperature_c,0.34906024831235716,0.0016213481384562806,0.0023810426547729887,0.001584881671539047,-0.21800521663453565,-0.005468810703078419,0.009968753095785678,0.009807860769013419,0.0021200439510287885,0.07504843704055804,0.2754515712374765,1.0,0.346978063192145,0.7816372313388457,0.10151985391861318,0.3096872266253802,0.3083663486112337,-0.3408555417083351,-0.3490602483123557,-0.3238282026352671,-0.139377234031223,0.4688093306321306,-0.21750470984300296,0.7440482953083971,-0.7207921152380197,0.5899331008082385,-0.35999553034155646
humidity_percentage,0.39184044589715167,-0.002724084150324696,0.005732507838698737,0.0054731253445095525,-0.16759232125835505,0.0011922664287024264,-0.08273874599315595,-0.06848239567965225,0.0033319180288510944,0.07247531890952492,0.30558060398865056,0.346978063192145,1.0,0.45140403480474306,0.05317894245621509,0.2509206616211209,0.24990024439982875,-0.4215676871072902,-0.3918404458971487,-0.36318757830790915,-0.07782560821067015,0.48305602971223144,-0.1928218399110209,0.620604467201526,-0.46965871582645174,0.4798607823110747,-0.2127252341674553
inlet_temperature_c,0.8573391110820251,-0.00015145684247616886,0.0011569436292263068,0.00029639727840330855,-0.3624752552150985,-0.003963791886331235,-0.014527422249829195,-0.01194688939222917,-0.0002940152194248521,0.052386181594017,0.3912882576485117,0.7816372313388457,0.45140403480474306,1.0,0.1197962494939362,0.4891914168631623,0.48655515592988646,-0.7203622970112485,-0.8573391110820322,-0.7939584560217294,-0.24576443653504726,0.811730352596237,-0.36580884522197743,0.7344141482676422,-0.6847660023119946,0.5759981638742675,-0.43908016976025066
